state	rank	country	value
Alabama	0	World	21880
Alabama	0	Top 25	20203.14
Alabama	1	Korea, South	4688.37
Alabama	2	Germany	4106.6
Alabama	3	Mexico	2869.05
Alabama	4	China	2174.5
Alabama	5	Canada	2047.26
Alabama	6	Japan	1015.45
Alabama	7	Ecuador	257.88
Alabama	8	Czech Republic	252.89
Alabama	9	Vietnam	252.86
Alabama	10	United Kingdom	242.06
Alabama	11	Iraq	217.07
Alabama	12	Taiwan	187.17
Alabama	13	Colombia	176.04
Alabama	14	Russia	174.99
Alabama	15	Brazil	174.77
Alabama	16	Honduras	170.3
Alabama	17	Hungary	167.41
Alabama	18	France	166.16
Alabama	19	Italy	163.9
Alabama	20	India	140.08
Alabama	21	Australia	135.89
Alabama	22	El Salvador	120.64
Alabama	23	Spain	115.4
Alabama	24	South Africa	95.26
Alabama	25	Malaysia	91.14
Alaska	0	World	2485.2
Alaska	0	Top 25	2457.29
Alaska	1	China	654.76
Alaska	2	Canada	611.68
Alaska	3	Japan	528.33
Alaska	4	Korea, South	328.37
Alaska	5	Taiwan	68.49
Alaska	6	Russia	46.87
Alaska	7	Mexico	32.79
Alaska	8	United Kingdom	30.06
Alaska	9	Singapore	28.24
Alaska	10	Thailand	17.01
Alaska	11	Germany	16
Alaska	12	France	14.35
Alaska	13	Philippines	13
Alaska	14	Italy	11.17
Alaska	15	Malaysia	9.88
Alaska	16	New Zealand	6.51
Alaska	17	Netherlands	6.28
Alaska	18	Denmark	5.83
Alaska	19	Australia	5.07
Alaska	20	Finland	5.06
Alaska	21	Norway	4.89
Alaska	22	Qatar	3.5
Alaska	23	Sweden	3.28
Alaska	24	Trinidad and Tobago	3
Alaska	25	Switzerland	2.87
Arizona	0	World	19679.3
Arizona	0	Top 25	18926.09
Arizona	1	Mexico	7595.97
Arizona	2	China	2642.55
Arizona	3	Canada	1505.39
Arizona	4	Germany	773.17
Arizona	5	Malaysia	753.09
Arizona	6	Japan	748.78
Arizona	7	United Kingdom	670.2
Arizona	8	Brazil	500.04
Arizona	9	Italy	488.54
Arizona	10	Taiwan	488.26
Arizona	11	Netherlands	442.64
Arizona	12	France	436.27
Arizona	13	Korea, South	306.56
Arizona	14	India	224.55
Arizona	15	Thailand	219.48
Arizona	16	Singapore	211.05
Arizona	17	Czech Republic	210.15
Arizona	18	Vietnam	117.74
Arizona	19	Philippines	91.41
Arizona	20	Australia	91.04
Arizona	21	Indonesia	85.66
Arizona	22	Spain	85.02
Arizona	23	Ireland	83.27
Arizona	24	Hong Kong	77.89
Arizona	25	Israel	77.38
Arkansas	0	World	7914.55
Arkansas	0	Top 25	7575.62
Arkansas	1	China	2583.13
Arkansas	2	France	1681.83
Arkansas	3	Canada	797.01
Arkansas	4	Mexico	636.4
Arkansas	5	Germany	419.64
Arkansas	6	India	235.78
Arkansas	7	Taiwan	142.24
Arkansas	8	Korea, South	129.33
Arkansas	9	Italy	117.53
Arkansas	10	Japan	100.79
Arkansas	11	United Kingdom	92.48
Arkansas	12	Vietnam	91.97
Arkansas	13	Malaysia	66.59
Arkansas	14	Sweden	59.22
Arkansas	15	Brazil	53.45
Arkansas	16	Netherlands	44.12
Arkansas	17	Switzerland	43.34
Arkansas	18	Pakistan	41.44
Arkansas	19	Bangladesh	40.62
Arkansas	20	Thailand	37.95
Arkansas	21	Israel	34.74
Arkansas	22	Saudi Arabia	33.69
Arkansas	23	Indonesia	32.31
Arkansas	24	Spain	30.8
Arkansas	25	Australia	29.22
California	0	World	408179.5
California	0	Top 25	382523.05
California	1	China	143470.4
California	2	Mexico	45069.46
California	3	Japan	38503.16
California	4	Canada	27853.94
California	5	Malaysia	16796.99
California	6	Korea, South	15532.89
California	7	Germany	12705.86
California	8	Taiwan	12526.38
California	9	Thailand	10043.29
California	10	Vietnam	8836.12
California	11	Saudi Arabia	6160.8
California	12	Indonesia	4680.74
California	13	United Kingdom	4564.17
California	14	Singapore	4180.29
